DEVELOPER_NUMBER,DEVELOPER_EN,REGISTRATION_DATE,LICENSE_SOURCE_EN,LICENSE_TYPE_EN,LEGAL_STATUS_EN,WEBPAGE,PHONE,FAX,LICENSE_NUMBER,LICENSE_ISSUE_DATE,LICENSE_EXPIRY_DATE,CHAMBER_OF_COMMERCE_NO
"2598","ATRINIA DEVELOPMENTS L.L.C","2026-01-06 06:38:46","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","043933853","","993828","2021-10-17 00:00:00","2026-10-16 00:00:00",""
"2599","EYAAN INFRA DEVELOPMENT L.L.C","2026-01-06 06:41:08","DUBAI ECONOMIC DEPARTMENT","","","","","","1584542","2026-01-05 00:00:00","2027-01-04 00:00:00",""
"2600","MAJAN AL GHURAIR REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-01-06 10:30:45","DUBAI ECONOMIC DEPARTMENT","","","","","","1565710","2026-01-02 00:00:00","2027-01-01 00:00:00",""
"2601","LUXURY UNHID REAL ESTATE DEVELOPMENT L.L.C","2026-01-06 12:01:02","DUBAI ECONOMIC DEPARTMENT","","","","","","1581064","2026-01-02 00:00:00","2027-01-01 00:00:00",""
"2602","EMIRATES REPORTAGE DEVELOPMENT & INVESTMENT L.L.C. - DUBAI BRANCH","2026-01-07 08:16:21","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1433068","2024-10-30 00:00:00","2026-10-29 00:00:00",""
"2603","AL SAUD REAL ESTATE DEVELOPMENT L.L.C","2026-01-08 14:10:09","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1437643","2024-12-17 00:00:00","2026-12-16 00:00:00",""
"2604","SMART S A C R REAL ESTATE BROKERS L.L.C","2026-01-08 14:10:58","DUBAI ECONOMIC DEPARTMENT","","","","91552101038","971-4-8321902","985108","2021-10-10 00:00:00","2026-10-09 00:00:00",""
"2605","ANANTA SHINE DEVELOPERS L.L.C","2026-01-12 10:22:34","DUBAI ECONOMIC DEPARTMENT","","","","","","1589478","2026-01-09 00:00:00","2027-01-08 00:00:00",""
"2606","NBCC OVERSEAS REAL ESTATE L.L.C","2026-01-12 13:46:40","DUBAI ECONOMIC DEPARTMENT","","","","","","1493703","2025-04-23 00:00:00","2027-04-22 00:00:00",""
"2607","ASSET HOMES GLOBAL REAL ESTATE CONSULTANCY L.L.C","2026-01-13 09:18:47","DUBAI ECONOMIC DEPARTMENT","","","","","","1156233","2023-03-16 00:00:00","2026-03-14 00:00:00",""
"2608","GRAND GULF REAL ESTATE DEVELOPMENT L.L.C","2026-01-13 14:44:36","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1523315","2025-07-02 00:00:00","2026-07-01 00:00:00",""
"2609","HAYAT LUXURY","2026-01-14 09:28:23","DUBAI ECONOMIC DEPARTMENT","","","","","","1474249","2025-03-01 00:00:00","2026-02-28 00:00:00",""
"2610","ALPINE PRIME REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 09:41:39","DUBAI ECONOMIC DEPARTMENT","","","","","","1587681","2026-01-13 00:00:00","2027-01-12 00:00:00",""
"2611","PRESTIGE GARDENS REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 22:56:35","DUBAI ECONOMIC DEPARTMENT","","","","","","1591488","2026-01-15 00:00:00","2027-01-14 00:00:00",""
"2612","NEOTERRA DPC DEVELOPMENTS L.L.C","2026-01-15 00:00:00","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","Limited Responsibility","","042697535","042697535","1589338","2026-01-14 00:00:00","2027-01-13 00:00:00",""
"2613","URBANICA DEVELOPMENTS L.L.C","2026-01-15 22:59:49","DUBAI ECONOMIC DEPARTMENT","","","","","","1591756","2026-01-15 00:00:00","2027-01-14 00:00:00",""
"2614","GOLDFAIR REALTY L.L.C","2026-01-16 11:15:16","DUBAI ECONOMIC DEPARTMENT","","","","","","1591946","2026-01-15 00:00:00","2027-01-14 00:00:00",""
"2615","ALSAJRI REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-01-16 21:55:59","DUBAI ECONOMIC DEPARTMENT","","","","","","1591912","2026-01-16 00:00:00","2027-01-15 00:00:00",""
"2616","L M G Development International LLC","2026-01-21 07:05:34","DUBAI ECONOMIC DEPARTMENT","","","","","","1593149","2026-01-20 00:00:00","2027-01-19 00:00:00",""
"2617","AL THARAA INTERNATIONAL REAL ESTATE DEVELOPMENT L.L.C","2026-01-22 13:05:43","DUBAI ECONOMIC DEPARTMENT","","","","","","1591248","2026-01-22 00:00:00","2027-01-21 00:00:00",""
"2618","EMILION DEVELOPMENT L.L.C","2026-01-22 13:06:16","DUBAI ECONOMIC DEPARTMENT","","","","","","1532364","2026-01-21 00:00:00","2027-01-20 00:00:00",""
"2619","QUADRA DEVELOPERS L.L.C","2026-01-23 18:08:27","DUBAI ECONOMIC DEPARTMENT","","","","","","1593114","2026-01-20 00:00:00","2027-01-19 00:00:00",""
"2620","AIDA NOVA REAL ESTATE DEVELOPMENT L.L.C","2026-01-23 18:10:55","DUBAI ECONOMIC DEPARTMENT","","","","","","1571877","2025-11-12 00:00:00","2026-11-11 00:00:00",""
"2621","Expo City Hills FZCO","2026-01-26 22:24:41","","","","","045552020","045552022","00119","2025-02-18 00:00:00","2027-02-17 00:00:00",""
"2622","LOTUS LIVING PROPERTIES L.L.C","2026-01-27 09:06:07","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1473193","2025-02-15 00:00:00","2026-02-14 00:00:00",""
"2623","ABDULLA & HAMAD AL GHURAIR REALESTATE DEVELOPMENT OWNED BY ABDULLA & HAMAD AL GHURAIR INVESTMENT L.L.C","2026-01-27 11:34:15","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1591972","2026-01-27 00:00:00","2027-01-26 00:00:00",""
"2624","AL BARAKAT PROPERTY INVESTMENT EST","2026-01-27 12:24:01","DUBAI ECONOMIC DEPARTMENT","","","","97143939500","97143939400","222115","2013-02-20 00:00:00","2025-03-22 00:00:00",""
"2625","REPORTAGE PRESTIGE REAL ESTATE DEVELOPMENT L.L.C","2026-01-28 09:06:39","DUBAI ECONOMIC DEPARTMENT","","","","","","1591719","2026-01-27 00:00:00","2027-01-26 00:00:00",""
"2626","GULBAHAR PROPERTIES DEVELOPMENT L.L.C","2026-01-28 09:19:04","DUBAI ECONOMIC DEPARTMENT","","","","","","1594003","2026-01-27 00:00:00","2027-01-26 00:00:00",""
"2627","FRONDS REAL ESTATE DEVELOPMENT L.L.C","2026-01-28 11:31:46","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971-4-8979999","","1274625","2023-12-20 00:00:00","2026-12-19 00:00:00",""
"2628","M F D PROPERTIES L.L.C","2026-01-28 12:42:32","DUBAI ECONOMIC DEPARTMENT","","","","","","1594483","2026-01-24 00:00:00","2027-01-23 00:00:00",""
"2629","BAMX NINE REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-01-28 14:57:37","DUBAI ECONOMIC DEPARTMENT","","","","","","1594239","2026-01-27 00:00:00","2027-01-26 00:00:00",""
"2630","D R C 2 REAL ESTATE DEVELOPMENT LLC","2026-01-28 20:08:27","TRAKHEEES-DED","","","","044478222","044298363","1345157","2024-04-15 00:00:00","2026-04-14 00:00:00",""
"2631","PRINCE ELITE DEVELOPMENT L.L.C","2026-01-29 08:58:50","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1595634","2026-01-28 00:00:00","2027-01-27 00:00:00",""
"2632","D R C 3 REAL ESTATE DEVELOPMENT L.L.C","2026-01-29 09:50:50","TRAKHEEES-DED","","","","044478222","044298363","1368887","2024-05-27 00:00:00","2026-05-26 00:00:00",""
"2633","VELORA PRIME REAL ESTATE DEVELOPMENT L.L.C","2026-01-30 17:47:57","DUBAI ECONOMIC DEPARTMENT","","","","","","1598557","2026-01-30 00:00:00","2027-01-29 00:00:00",""
"2634","GRID VIV REAL ESTATE DEVELOPMENT L.L.C","2026-01-31 07:50:13","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1570758","2025-12-29 00:00:00","2026-12-28 00:00:00",""
"2635","BP HORIZON REAL ESTATE DEVELOPMENT L.L.C","2026-01-31 22:11:26","DUBAI ECONOMIC DEPARTMENT","","","","","","1571824","2026-01-13 00:00:00","2027-01-12 00:00:00",""
"2636","TRACTON AXIS REAL ESTATE DEVELOPMENT L.L.C","2026-02-02 13:57:50","Mohammed Bin Rashid Est","","","","","","1593355","2026-01-28 00:00:00","2027-01-27 00:00:00",""
"2637","EQUITY INFRA REAL ESTATE L.L.C","2026-02-04 09:09:33","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1320598","2024-03-15 00:00:00","2026-03-15 00:00:00",""
"2638","NED AL GHURAIR PROPERTIES DEVELOPMENT L.L.C","2026-02-04 11:52:45","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","047575900","047575900","938563","2021-03-02 00:00:00","2027-03-01 00:00:00",""
"2639","TARIQ AL FUTTAIM LIVING L.L.C","2026-02-04 19:50:46","DUBAI ECONOMIC DEPARTMENT","","","","","","1600538","2026-02-04 00:00:00","2027-02-03 00:00:00",""
"2640","MAHAMANTRA DEVELOPER L.L.C","2026-02-07 08:01:28","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1164617","2023-04-11 00:00:00","2026-04-10 00:00:00",""
"2641","DENFIELD CAPITAL REAL ESTATE DEVELOPMENT L.L.C","2026-02-09 12:39:58","DUBAI ECONOMIC DEPARTMENT","","","","","","1601774","2026-02-07 00:00:00","2027-02-06 00:00:00",""
"2642","BELHASA REAL ESTATE DEVELOPMENT L.L.C","2026-02-12 10:12:06","DUBAI ECONOMIC DEPARTMENT","","","","","","1586743","2026-02-10 00:00:00","2027-02-09 00:00:00",""
"2643","PEACE HOMES HORIZON DEVELOPMENT L.L.C","2026-02-12 22:30:33","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1573120","2025-12-03 00:00:00","2026-12-02 00:00:00",""
"2644","PEACE HOMES ELITE DEVELOPMENT L.L.C","2026-02-12 22:33:46","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1572937","2025-12-03 00:00:00","2026-12-02 00:00:00",""
"2645","PG JV ONE REAL ESTATE DEVELOPMENT L.L.C","2026-02-13 10:57:24","DUBAI ECONOMIC DEPARTMENT","","","","044479988","044479987","1599832","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2646","IMTIAZ DOWNTOWN REAL ESTATE DEVELOPMENT L.L.C","2026-02-14 08:08:23","DUBAI ECONOMIC DEPARTMENT","","","","","","1597621","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2647","GEMINI SIGNATURE REAL ESTATE DEVELOPMENT L.L.C","2026-02-14 08:11:40","DUBAI ECONOMIC DEPARTMENT","","","","","","1585075","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2648","ZLON DEVELOPMENTS L.L.C","2026-02-16 11:37:14","DUBAI ECONOMIC DEPARTMENT","","","","","","1604809","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2649","ARADA DEVELOPMENTS L.L.C S.O.C (Branch)","2026-02-16 19:41:12","DUBAI ECONOMIC DEPARTMENT","","","","0","97146073301","1597721","2026-02-03 00:00:00","2027-02-02 00:00:00",""
"2650","BUILD BEYOND PROPERTIES LLC","2026-02-17 12:00:42","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971|563441116","","1398162","2024-08-06 00:00:00","2026-08-05 00:00:00",""
"2651","CLARIONNE ELIT REAL ESTATE DEVELOPMENT L.L.C","2026-02-17 13:22:22","DUBAI ECONOMIC DEPARTMENT","","","","","","1603121","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2652","SAVONA REAL ESTATE DEVELOPMENT L.L.C","2026-02-17 13:25:08","DUBAI ECONOMIC DEPARTMENT","","","","","","1602208","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2653","KORA AVENEW PROPERTIES L.L.C","2026-02-18 08:50:52","DUBAI ECONOMIC DEPARTMENT","","","","","","1574463","2025-11-18 00:00:00","2026-11-17 00:00:00",""
"2654","VRE VANTAGE REAL ESTATE L.L.C","2026-02-18 10:24:37","DUBAI ECONOMIC DEPARTMENT","","","","","","1587060","2026-02-04 00:00:00","2027-02-03 00:00:00",""
"2655","EETERNAL LIFESTYLE DEVELOPMENTS L.L.C","2026-02-18 10:41:49","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1494636","2025-04-22 00:00:00","2026-04-21 00:00:00",""
"2656","WARQ BURAQALLAIL DEVELOPMENT L.L.C","2026-02-18 10:56:57","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1605878","2026-02-17 00:00:00","2027-02-16 00:00:00",""
"2657","O X I A REAL ESTATE DEVELOPMENT L.L.C","2026-02-19 09:44:50","DUBAI ECONOMIC DEPARTMENT","","","","","","1603869","2026-02-18 00:00:00","2027-02-17 00:00:00",""
"2658","NANMA PROPERTIES L.L.C","2026-02-19 13:01:50","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1409559","2024-09-03 00:00:00","2026-09-02 00:00:00",""
"2659","ZIMAYA SIGNATURE REAL ESTATE DEVELOPMENT L.L.C","2026-02-19 14:05:27","DUBAI ECONOMIC DEPARTMENT","","","","","","1532867","2025-07-24 00:00:00","2026-07-23 00:00:00",""
"2660","ELITE FIRST DEVELOPMENT L.L.C","2026-02-23 10:24:45","DUBAI ECONOMIC DEPARTMENT","","","","","","1602448","2026-02-20 00:00:00","2027-02-19 00:00:00",""
"2661","EDOMI REAL ESTATE DEVELOPMENTS L.L.C","2026-02-23 10:47:59","DUBAI ECONOMIC DEPARTMENT","","","","","","1586226","2026-02-20 00:00:00","2027-02-19 00:00:00",""
"2662","E L A N DEVELOPMENTS L.L.C","2026-02-23 11:37:55","DUBAI ECONOMIC DEPARTMENT","","","","","","1600534","2026-02-20 00:00:00","2027-02-19 00:00:00",""
"2663","CRONA DEVELOPMENT L.L.C","2026-02-24 12:28:55","DUBAI ECONOMIC DEPARTMENT","","","","","","1507731","2025-05-23 00:00:00","2026-05-22 00:00:00",""
"2664","CITI DEVELOPERS REAL ESTATE DEVELOPMENT L.L.C (Branch)","2026-02-24 18:14:17","DUBAI ECONOMIC DEPARTMENT","","","","","","1517667","2026-02-14 00:00:00","2027-02-13 00:00:00",""
"2665","DUNYA SKYLINE RESIDENCES L.L.C","2026-02-27 10:20:11","DUBAI ECONOMIC DEPARTMENT","","","","","","1609078","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2666","DUNYA HEIGHTS L.L.C","2026-02-27 10:21:00","DUBAI ECONOMIC DEPARTMENT","","","","971|557555555","0557555555","1609080","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2667","PPS PROPERTIES L.L.C","2026-02-27 15:33:12","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","0506596665","0506596665","1450591","2024-12-20 00:00:00","2026-12-19 00:00:00",""
"2668","ALTO REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:22:04","DUBAI ECONOMIC DEPARTMENT","","","","","","1606585","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2669","MONTREAUX REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:23:37","DUBAI ECONOMIC DEPARTMENT","","","","","","1606497","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2670","RIVORA ELIT REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:24:47","DUBAI ECONOMIC DEPARTMENT","","","","","","1606485","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2671","CASCADE ELIT REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:26:21","DUBAI ECONOMIC DEPARTMENT","","","","","","1605978","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2672","QANORA REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:28:27","DUBAI ECONOMIC DEPARTMENT","","","","","","1606539","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2673","FORMA REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:29:47","DUBAI ECONOMIC DEPARTMENT","","","","","","1606546","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2674","NOVA REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:31:22","DUBAI ECONOMIC DEPARTMENT","","","","","","1606581","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2675","SELRYX REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:32:37","DUBAI ECONOMIC DEPARTMENT","","","","","","1607057","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2676","CHAVERE REAL ESTATE DEVELOPMENT L.L.C","2026-02-27 17:34:06","DUBAI ECONOMIC DEPARTMENT","","","","","","1607065","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2677","RUQAN REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:38:10","DUBAI ECONOMIC DEPARTMENT","","","","","","1607826","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2678","LYRIANA REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:39:57","DUBAI ECONOMIC DEPARTMENT","","","","","","1607830","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2679","AXIS REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:41:14","DUBAI ECONOMIC DEPARTMENT","","","","","","1608445","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2680","MOOD REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:42:13","DUBAI ECONOMIC DEPARTMENT","","","","","","1607453","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2681","ANOORA REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:43:10","DUBAI ECONOMIC DEPARTMENT","","","","","","1607426","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2682","SUHOR REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:44:26","DUBAI ECONOMIC DEPARTMENT","","","","","","1607484","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2683","NERQON REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:45:23","DUBAI ECONOMIC DEPARTMENT","","","","","","1607408","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2684","QADORY REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:46:26","DUBAI ECONOMIC DEPARTMENT","","","","","","1607070","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2685","ORMEA REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:47:46","DUBAI ECONOMIC DEPARTMENT","","","","","","1608517","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2686","VULTEX REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:48:56","DUBAI ECONOMIC DEPARTMENT","","","","","","1606111","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2687","SKYLAR REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:50:09","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1607073","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2688","COASTLINE VIEWS REAL ESTATE DEVELOPMENT L.L.C","2026-03-02 22:51:17","DUBAI ECONOMIC DEPARTMENT","","","","","","1607828","2026-02-27 00:00:00","2027-02-26 00:00:00",""
"2689","GOLDFAIR DEVELOPERS L.L.C","2026-03-04 11:08:04","DUBAI ECONOMIC DEPARTMENT","","","","0553200802","00","1594374","2026-02-13 00:00:00","2027-02-12 00:00:00",""
"2690","CASA D ORO PROPERTIES L.L.C","2026-03-04 13:40:39","DUBAI ECONOMIC DEPARTMENT","","","","","","1598002","2026-02-26 00:00:00","2027-02-25 00:00:00",""
"2691","ADLAC TERRA REAL ESTATE DEVELOPMENT L.L.C","2026-03-09 19:50:50","DUBAI ECONOMIC DEPARTMENT","","","","","","1611147","2026-03-09 00:00:00","2027-03-08 00:00:00",""
"2692","REPORTAGE CAPITAL REAL ESTATE DEVELOPMENT L.L.C","2026-03-10 10:09:10","DUBAI ECONOMIC DEPARTMENT","","","","971|585088202","04000000","1589439","2026-01-27 00:00:00","2027-01-26 00:00:00",""
"2693","PRIMESTONE FOR BUYING AND SELLING OF REAL ESTATE CO. L.L.C","2026-03-11 09:38:56","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","971506148363","","1309017","2024-02-09 00:00:00","2027-02-08 00:00:00",""
"2694","W J D REAL ESTATE L.L.C","2026-03-11 11:10:35","DUBAI ECONOMIC DEPARTMENT","","","","","","1547015","2026-02-11 00:00:00","2027-02-10 00:00:00",""
"2695","AURORA SPV 4 L.L.C","2026-03-12 20:40:20","DUBAI ECONOMIC DEPARTMENT","","","","971-04-3622000","971-04-3622091","1587779","2026-01-09 00:00:00","2027-01-08 00:00:00",""
"2696","ORVION REAL ESTATE DEVELOPMENT L.L.C","2026-03-12 23:31:14","DUBAI ECONOMIC DEPARTMENT","","","","","","1611647","2026-03-11 00:00:00","2027-03-10 00:00:00",""
"2697","RIVA REAL ESTATE DEVELOPMENT L.L.C S.O.C","2026-03-16 19:32:26","DUBAI ECONOMIC DEPARTMENT","","","","","","1612964","2026-03-16 00:00:00","2027-03-15 00:00:00",""
"2698","ACUBE ZETA REAL ESTATE DEVELOPMENT L.L.C","2026-03-17 19:37:10","DUBAI ECONOMIC DEPARTMENT","","","","","","1612789","2026-03-17 00:00:00","2027-03-16 00:00:00",""
"2699","PRESTIGE AVENUE REAL ESTATE DEVELOPMENT L.L.C","2026-03-23 11:23:00","DUBAI ECONOMIC DEPARTMENT","","","","","","1611015","2026-03-14 00:00:00","2027-03-13 00:00:00",""
"2700","MY VILLAS DEVELOPMENT LLC","2026-03-25 12:31:15","DUBAI ECONOMIC DEPARTMENT","","","","042599933","042599933","1612909","2026-03-23 00:00:00","2027-03-22 00:00:00",""
"2701","ASTRALIS LIVING REAL ESTATE DEVELOPMENT L.L.C","2026-03-26 22:28:30","DUBAI ECONOMIC DEPARTMENT","","","","","","1610925","2026-03-25 00:00:00","2027-03-24 00:00:00",""
"2702","PRIME RESIDENTIAL DEVELOPMENT L.L.C","2026-03-30 11:34:32","DUBAI ECONOMIC DEPARTMENT","","","","","","1609083","2026-03-25 00:00:00","2027-03-24 00:00:00",""
"2703","Aurora Property FZ-LLC","2026-04-02 08:57:24","","","","","","","106326","2026-02-24 00:00:00","2027-02-23 00:00:00",""
"2704","REACH SKYLINE REAL ESTATE DEVELOPMENT L.L.C","2026-04-03 06:37:00","DUBAI ECONOMIC DEPARTMENT","","","","","","1613836","2026-04-02 00:00:00","2027-04-01 00:00:00",""
"2705","RATHATH BUYING AND SELLING OF REAL ESTATE L.L.C","2026-04-06 20:28:18","DUBAI ECONOMIC DEPARTMENT","","","","","","1574733","2025-11-25 00:00:00","2026-11-24 00:00:00",""
"2706","SUPREME PRESTIGE REAL ESTATE DEVELOPMENT L.L.C","2026-04-07 20:35:47","DUBAI ECONOMIC DEPARTMENT","","","","","","1612169","2026-04-07 00:00:00","2027-04-06 00:00:00",""
"2707","RABDAN EDGE DEVELOPMENT L.L.C","2026-04-08 11:30:30","DUBAI ECONOMIC DEPARTMENT","","","","","","1598306","2026-04-08 00:00:00","2027-04-07 00:00:00",""
"2708","REPORTAGE NEXUS REAL ESTATE DEVELOPMENT L.L.C","2026-04-08 23:34:46","DUBAI ECONOMIC DEPARTMENT","PROFESSIONAL","","","","","1614929","2026-04-08 00:00:00","2027-04-07 00:00:00",""
