PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"3189","Verdes by Haven 2","1658","AURORA SPV 1 L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2024-09-10 15:28:19","Normal","63000000","4031225788862016","ACTIVE","2.52","2025-10-23 10:44:32","2028-07-04 00:00:00","the project contain\nBuilding number 7 - G +4 + R, with total number of 59 residential units\n\nResidential units 59\nCommercial units 0","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","59",""
"3403","INTERSTELLAR TOWER","1742","BOUJEE REAL ESTATE DEVELOPMENT L.L.C","2026-02-28 00:00:00","2028-09-30 00:00:00","2025-12-22 15:16:56","Normal","82000000","01434279264","ACTIVE","0","2025-12-18 12:39:16","","G+5P+24+R RESIDENTIAL, COMMERCIAL AND RETAIL BUILDING","Al Barsha South Fifth","Trakhees","0","0","0","341",""
"3420","Mayfair Nexus by Seven Mayfair","1925","SEVEN MAYFAIR REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-12-31 00:00:00","2025-09-10 16:23:15","Normal","220000000","13713344920002","ACTIVE","0.64","2026-03-12 16:25:13","","Project consists of 9 connected buildings; each building consists of a Basement + Retail on Ground Floor + 4 Residential Floors + Roof.The project designed to have a concrete structure and block with internal and external finishes.","Wadi Al Safa 7","Dubai Development Authority (DDA)","0","0","0","473",""
"3497","A Y A by Palace Group","2096","P G S P V TEN REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","","Normal","40000000","","PENDING","0","2025-12-08 12:43:06","","B1+G+2P+8+R Residential Building","Al Satwa","","1","0","0","0",""
"3592","Symphony by Chaimaa","1166","DEVAL REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-08-31 00:00:00","2026-02-17 11:52:25","Normal","40742100","10489852820012","ACTIVE","0","2026-01-06 16:27:38","","PROPOSED RESIDENTIAL WITH RETAILB2 LOW LEVEL+B2 HIGH LEVEL\n+B1+G+8+TECHNICAL+H.CLUB FLOOR\n","Wadi Al Safa 3","","0","0","0","71",""
"3679","Confident Preston","2295","CASA PRESTON REAL ESTATE L.L.C","2026-01-14 00:00:00","2028-04-14 00:00:00","","Normal","23482480","","PENDING","0","2025-05-08 18:39:04","","The building consists of G+9 floors and includes comprehensive residential services, in addition to rooftop facilities.","Wadi Al Safa 2","","0","0","0","99",""
"3691","Trump Tower","2305","DAR GLOBAL LUXURY PROPERTY DEVELOPMENT L.L.C S.O.C","2026-01-15 00:00:00","2031-12-31 00:00:00","2025-04-29 10:33:51","Normal","300000000","0205879614802","ACTIVE","0.01","2025-08-19 11:17:16","","The project is located on Sheikh Zayed Road and will include branded residential apartments, a pool and gymnasium, backside multistorey parking on a different plot, and various amenities such as SPA, and F&Bs. \nThe project is described as G+79 and will consist of a total of 572 units.","Trade Center First","Dubai Municipality","0","0","0","574",""
"3732","Waada - Cascada 2","2254","BT PROPERTIES DWC LLC","2026-03-18 00:00:00","2029-03-17 00:00:00","2025-12-10 12:07:11","Normal","172786300","1001468010000005","ACTIVE","0","2025-05-02 15:09:25","","G+16 Floor","Madinat Al Mataar","Dubai South","0","0","0","249",""
"3749","Olbia","1162","NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C","2026-01-30 00:00:00","2028-05-31 00:00:00","2025-05-28 11:08:31","Normal","127718022","4031224702173094","ACTIVE","0","2025-05-12 11:36:53","2028-05-31 00:00:00","G+2P+10+Parking in ground floor & Podium Floors","Al Yelayiss 2","Dubai Development Authority (DDA)","0","0","0","156",""
"3805","The Weave","1955","THE WEAVE REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-09-01 00:00:00","2025-07-15 11:47:26","Normal","65844240","4031226874860002","ACTIVE","0","2025-06-09 19:08:03","","G+5P+13Floors+Amenities","Al Barsha South Fourth","Trakhees","0","0","0","130",""
"3809","Hayat 2","1142","DUBAI SOUTH PROPERTIES DWC LLC","2026-01-10 00:00:00","2028-05-31 00:00:00","2025-06-17 11:55:53","Normal","314131975","0205928147605","ACTIVE","0","2026-03-13 06:28:16","","Hayat 2 is a phase of townhouse communities featuring a mix of 3, 4, and 5-bedroom units. comprises 142 townhouses","Madinat Al Mataar","Dubai South","0","0","142","0",""
"3810","Hayat 3 ","1142","DUBAI SOUTH PROPERTIES DWC LLC","2026-01-30 00:00:00","2028-05-30 00:00:00","2025-06-17 12:03:27","Normal","313074954","0205928147603","ACTIVE","0","2026-03-13 06:31:46","","Hayat 3 is a phase of townhouse communities featuring a mix of 3, 4, and 5-bedroom units. comprises 144 townhouses","Madinat Al Mataar","Dubai South","0","0","144","0",""
"3818","AUM 99 Residences","2250","AUM 99 HOME REAL ESTATE DEVELOPMENTS L.L.C","2026-03-31 00:00:00","2029-03-31 00:00:00","2026-03-12 13:44:47","Normal","37500000","0205937932202","ACTIVE","0","2025-07-15 11:09:38","","One Residential Building (B2+G+11+ROOF)","Wadi Al Safa 5","","0","0","0","186",""
"3832","Pinewood Estate Homes","2249","JGE REAL ESTATE L.L.C","2026-03-18 00:00:00","2028-11-17 00:00:00","2025-06-18 11:59:09","Normal","720951905","0205915786603","ACTIVE","0.32","2026-01-23 10:22:47","","Total of 247 (G+1 villas & G+1 + Roof villas)","Me'Aisem First","Trakhees","0","0","247","0",""
"3869","Talea","2264","MANAROLA REAL ESTATE DEVELOPMENTS L.L.C","2026-03-30 00:00:00","2028-06-30 00:00:00","2025-07-29 09:22:01","Normal","326000000","0205924186903","ACTIVE","0","2026-03-17 10:57:41","","Residential Building G +3P+ 41 Floor +Roof","Madinat Dubai Almelaheyah","Trakhees","0","0","0","354",""
"3883","Elevia Residences II","2260","VALORES WBAY PROPERTY DEVELOPMENT L.L.C","2026-01-20 00:00:00","2028-01-19 00:00:00","","Normal","32000000","","PENDING","0","2026-02-02 18:21:42","","Residential Building (B+G+5+R)","Warsan Fourth","","1","0","0","0",""
"3890","Eywa The Way Of Water","1807","REVOLUTION PALM REAL ESTATE L.L.C","2026-02-15 00:00:00","2028-10-15 00:00:00","2026-03-11 14:09:02","Normal","261283787","3004049510000002","ACTIVE","0","2025-10-16 10:50:03","","G+27+R - Residential and Amenities","Business Bay","","0","0","0","65",""
"4028","Fiori","1162","NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C","2026-03-16 00:00:00","2028-06-30 00:00:00","2025-09-18 10:10:37","Normal","124901695","4031224702173101","ACTIVE","0","2025-08-13 09:58:55","","G+2P+10+parking in Ground floor & podium floors","Al Yelayiss 2","Dubai Development Authority (DDA)","0","0","0","146",""
"4031","SERA 1","1275","MINA RASHID PROPERTIES L.L.C","2026-02-26 00:00:00","2029-11-30 00:00:00","2025-08-25 13:17:40","Normal","243902724","9009224036986014","ACTIVE","0","2025-08-07 11:09:39","","Residential Development Consisting of two Buildings: Total 203 units \nTower A (G+P+7): Total of 96 units\nTower B (G+P+8): Total of 107 units\n","Madinat Dubai Almelaheyah","Trakhees","0","0","0","203",""
"4032","SERA 2","1275","MINA RASHID PROPERTIES L.L.C","2026-02-26 00:00:00","2029-11-30 00:00:00","2025-08-14 16:35:29","Normal","223485648","12750345830005","ACTIVE","0","2025-08-07 11:12:22","","Residential Development Consisting of two Buildings: Total 183 units \nTower A (G+P+6): Total of 83 units\nTower B (G+P+7): Total of 100 units\n","Madinat Dubai Almelaheyah","Trakhees","0","0","0","183",""
"4038","Hayat 4 ","1142","DUBAI SOUTH PROPERTIES DWC LLC","2026-03-30 00:00:00","2028-07-31 00:00:00","2025-09-10 14:17:36","Normal","454596261","0205928147608","ACTIVE","0","2026-03-13 06:34:40","","The project consists of 200 modern townhouses offering a mix of 3, 4, and 5-bedroom units.","Madinat Al Mataar","Dubai South","0","0","200","0",""
"4040","Astra Residences","1157","DUGASTA PROPERTIES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-08-31 00:00:00","2025-12-23 12:11:05","Normal","32000000","012008923815","ACTIVE","10.38","2026-02-20 13:51:01","","G+4+R","Madinat Al Mataar","Dubai South","0","0","0","108",""
"4044","Rise by Athlon 1","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2029-12-30 00:00:00","2025-09-09 13:07:52","Normal","717786000","4031225788876008","ACTIVE","0","2025-08-14 17:01:40","","Rise by Athlon 1 , Azul, Teal, Magenta is a residential which consists of:\nAzul Tower ? G+2P+27\n Teal Tower ? G+2P+24\n Magenta Tower ? G+2P+21\n Total residential units: 650","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","650",""
"4045","Rise by Athlon 2","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2030-01-30 00:00:00","2025-09-09 13:09:21","Normal","448872000","4031225788876010","ACTIVE","0","2025-08-14 17:14:54","","Rise by Athlon 4 , Cyan & Neon is a residential which consists of: \nNeon Tower ? G+2P+21\nCyan Tower ? G+2P+24\n Total residential units: 407","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","407",""
"4046","Rise by Athlon 3","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2030-01-30 00:00:00","2025-09-09 13:10:20","Normal","178464000","4031225788876012","ACTIVE","0","2025-08-14 17:15:39","","Rise by Athlon 3 , Grid & Tempo is a residential which consists of:\nGrid Building  G+1P+4\n Tempo Building  G+1P+4\n Total residential units: 120","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","120",""
"4047","Rise by Athlon 4","1657","AURORA SPV 3 L.L.C","2026-01-15 00:00:00","2029-12-30 00:00:00","2025-09-09 13:11:27","Normal","99915000","4031225788876014","ACTIVE","0","2025-08-14 17:16:25","","Rise by Athlon 4 , Foundry is a residential which consists of:\nFoundry Building  G+1P+4\nTotal residential units: 66","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","66",""
"4052","ALDER AT PARK FIVE","15","DEYAAR DEVELOPMENT (P.J.S.C)","2026-03-01 00:00:00","2027-12-31 00:00:00","2025-10-02 12:16:42","Normal","55200000","454761830007","ACTIVE","0","2025-08-18 15:30:17","","B (Services)+G + 5 Res. Floor + Retail","Me'Aisem First","Dubai Development Authority (DDA)","0","0","0","75",""
"4053","Hayat 5","1142","DUBAI SOUTH PROPERTIES DWC LLC","2026-03-30 00:00:00","2028-07-30 00:00:00","2025-09-10 14:20:44","Normal","265442749","0205928147610","ACTIVE","0","2026-03-13 06:46:24","","The project consists of 112 modern townhouses offering a mix of 4, and 5-bedroom units.","Madinat Al Mataar","Dubai South","0","0","112","0",""
"4057","Helvetia Verde","1619","D H G PROPERTY DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-11-30 00:00:00","2025-10-10 13:33:48","Normal","63400000","29409887","ACTIVE","0","2025-08-26 16:07:17","","G+2P+17+R w/ retail at ground","Bukadra","Dubai Municipality","0","0","0","109",""
"4061","Floarea Breeze","1542","MASHRIQ ELITE REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2025-11-25 15:23:07","Normal","32500000","13613635820004","ACTIVE","0","2025-08-27 20:22:15","","Residential Building (G+6+Roof)","Palm Deira","Trakhees","0","0","0","52",""
"4064","DAMAC DISTRICT","954","DAMAC CRESCENT PROPERTIES","2026-02-14 00:00:00","2029-03-30 00:00:00","2025-09-03 13:00:36","Normal","367556140","019000091174","ACTIVE","0.12","2026-02-18 14:36:44","","Project consists of 3 towers; Tower A: G+2P+26+R - residential building, Tower B:\nG+2P+29+R- residential building and Tower C: G+2P+10+R commercial located in Al\nHebiah Third, Plot no. 6768567, Damac Hills, Dubai, United Arab Emirates. The building is\ndesigned to have a concrete structure and block with internal and external finishes.","Al Hebiah Third","Dubai Development Authority (DDA)","0","0","0","1066",""
"4066","Avida Residences","2139","SERENE MARINA REAL ESTATE DEVELOPMENT L.L.C","2026-01-02 00:00:00","2027-12-01 00:00:00","2025-09-11 09:57:55","Normal","35000000","1010016150","ACTIVE","0.02","2026-01-02 13:42:48","","G+P+6","Palm Deira","Trakhees","0","0","0","50",""
"4067","Grand Polo - Chevalia Estate 2","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-02-16 00:00:00","2029-06-30 00:00:00","2025-09-10 15:04:50","Normal","460598646","001640196282001","ACTIVE","0.55","2026-03-04 14:11:15","","Residential development consisting of 124 villas (G+2)\n","Dubai Investment Park Second","Dubai Municipality","0","0","124","0",""
"4071","Wedyan","2054","WEDYAN AL GHURAIR REAL ESTATE DEVELOPMENT L.L.C","2026-03-15 00:00:00","2029-09-15 00:00:00","2025-09-22 14:01:56","Normal","920000000","019000089390","ACTIVE","0","2025-09-01 17:51:08","","Residential and Commercial Building (3B + G + 46 Floors + R)","Business Bay","Dubai Development Authority (DDA)","0","0","0","164",""
"4073","Bond Living","1905","PEARLSHIRE DIRC REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2028-09-30 00:00:00","2025-11-17 18:11:08","Normal","37600000","13574882920003","ACTIVE","0","2025-09-04 16:18:05","","Basement + Ground + 11 Residential Floors + Roof","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","94",""
"4076","Azizi Wares","1002","AZIZI DEVELOPMENTS L.L.C","2026-03-04 00:00:00","2028-03-04 00:00:00","2026-04-03 13:47:50","Normal","87053200","011177627018","ACTIVE","2","2026-03-18 18:28:27","","PROPOSED G+3P+6+R RESIDENTIAL/ COMMERCIAL BUILDING","Jabal Ali Industrial Second","Trakhees","0","0","0","336",""
"4081","Breez by Danube","1009","DANUBE PROPERTIES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-06-30 00:00:00","2025-09-18 10:41:41","Normal","510000000","4031221746692063","ACTIVE","0.04","2026-03-12 11:52:59","","Residential Building with Retails at Ground floor (1B+G+8P+1st Floor (Amenities)+46 Residential Floors + 2 Partial Mech. & Residential Floors + Roof","Madinat Dubai Almelaheyah","Trakhees","0","0","0","1200",""
"4084","Soulever' By Beyond","2324"," BEYOND 1 REAL ESTATE DEVELOPMENT L.L.C ","2026-03-30 00:00:00","2028-12-30 00:00:00","2025-09-29 14:45:02","Normal","645000000","0205926829003","ACTIVE","0","2025-09-11 16:41:08","","Proposed 2B+G+3P+31/44 Story Mixed Use "" Commercial & Residential"" 2 Towers","Madinat Dubai Almelaheyah","Trakhees","0","0","0","517",""
"4085","Waada - Altura 2","2254","BT PROPERTIES DWC LLC","2026-03-15 00:00:00","2029-03-14 00:00:00","2025-10-10 13:43:33","Normal","150129399","012648006274","ACTIVE","0","2025-09-22 16:32:16","","B+G+2P+28","Madinat Al Mataar","Dubai South","0","0","0","365",""
"4089","Solaya (1,2,3)","1824","LA MER NORTH PROPERTY CO. L.L.C","2026-01-30 00:00:00","2029-06-30 00:00:00","2025-09-24 14:24:31","Normal","636666894","1010028254","ACTIVE","0","2026-03-23 10:34:33","","-	3 Residential Buildings comprising of 67 Residential units (2BHK=14, 3BHK=22, 4BHK=24, 5BHK=4, PH=3)\n-	Solaya 1 : B+G+6+R (18# -Resi. Units).\n-	Solaya 2 : B+G+7+R (22# - Resi. Units).\n-	Solaya 3 : B+G+8+R (27# - Resi. Units).","Jumeirah First","Dubai Development Authority (DDA)","0","0","0","67",""
"4092","LEGACY HEIGHTS","2399","LEGACY HOMES REAL ESTATE DEVELOPMENT DWC-LLC","2026-04-04 00:00:00","2029-04-04 00:00:00","2026-04-01 12:58:46","Normal","35000000","1010153839","ACTIVE","0","2025-10-06 13:49:31","","G+6 Residential Building at Plot No. RG-67","Madinat Al Mataar","Dubai South","0","0","0","87",""
"4093","241 Waterside","2390","LEGACY STAR REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 00:00:00","2028-06-15 00:00:00","2025-11-11 12:48:27","Normal","42000000","0205935550405","ACTIVE","0","2025-10-30 16:10:32","","Residential Building(G+2P+8 Floors Roof) + Entertainment area @ Podium 2F + Swimming Pool @ Roof","Palm Deira","Trakhees","0","0","0","63",""
"4096","Azizi David","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-03 00:00:00","2028-09-30 00:00:00","2026-02-24 11:48:32","Normal","65141200","011176843014","ACTIVE","2","2026-03-17 17:04:35","","PROPOSED RESIDENTIAL BUILDING 3B+G+4P+15+R ","Al Jadaf","Dubai Development Authority (DDA)","0","0","0","256",""
"4099","Jasmine Residence","2279","DAR COMFORT REAL ESTATE L.L.C","2026-02-15 00:00:00","2027-12-31 00:00:00","","Normal","38000000","","PENDING","0","2026-01-28 12:47:10","","Residential building (b+g+4 Floor + Roof ) with retail @GF + Swimming Pool @ first Floor)","Al Barsha South Fifth","","1","0","0","0",""
"4111","Sakura Gardens ","1669","HRE REAL ESTATE DEVELOPMENT L.L.C","2026-03-01 00:00:00","2029-06-30 00:00:00","2025-10-01 13:48:38","Normal","850000000","0012157179023","ACTIVE","0","2025-09-19 16:32:17","","Residential Building (B+G+9 floor + Retail in Ground Floor )","Wadi Al Safa 2","Dubai Development Authority (DDA)","0","0","0","1429",""
"4115","Aurea","1275","MINA RASHID PROPERTIES L.L.C","2026-03-31 00:00:00","2030-06-30 00:00:00","2025-09-26 09:45:55","Normal","164321560","12750345830007","ACTIVE","0","2025-09-19 11:15:17","","Residential Development\nConsisting of one Building: Total 169 units\nTower: (G+P+13): Total of 169 units\nRetails : 3 Units on Ground Floor","Madinat Dubai Almelaheyah","Trakhees","0","0","0","172",""
"4118","Crystal Tower","2337","V H S REAL ESTATE DEVELOPMENTS L.L.C","2026-01-01 00:00:00","2028-12-01 00:00:00","2025-12-24 09:53:47","Normal","34500000","0800008852002","ACTIVE","0","2025-10-15 18:12:41","","Commercial & Residential Building (G+2P+7F+R)","Al Warsan First","Dubai Development Authority (DDA)","0","0","0","110",""
"4122","Solaya (4,6)","1941","LA MER CENTRAL PROPERTY CO. L.L.C","2026-03-31 00:00:00","2029-09-30 00:00:00","2025-11-28 10:46:12","Normal","398291189","1010083457","ACTIVE","0","2025-11-11 10:42:08","","2 Residential Buildings comprising of 44 Residential units (2BHK=10, 3BHK=17, 4BHK=12, 5BHK=3, PH=2)\nSolaya 4: B+G+R+6 (18# -Resi. Units).\nSolaya 6: B+G+R+7 (26# -Resi. Units).\n","Jumeirah First","Dubai Development Authority (DDA)","0","0","0","176",""
"4123","Solaya (5,7)","1941","LA MER CENTRAL PROPERTY CO. L.L.C","2026-03-31 00:00:00","2029-09-30 00:00:00","2025-11-28 10:52:37","Normal","524319595","1010083432","ACTIVE","0","2025-11-04 10:40:30","","2 Residential Buildings comprising of 55 Residential units (2BHK=8, 3BHK=19, 4BHK=22, 5BHK=4, PH=2)\nSolaya 5: B+G+R+7 (26# -Resi. Units).\nSolaya 7: B+G+R+8 (29# -Resi. Units).\n","Jumeirah First","Dubai Development Authority (DDA)","0","0","0","55",""
"4131","Derby Heights","2288","A M I S SIGNATURE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-10-31 00:00:00","2025-10-13 11:32:42","Normal","20221250","200884084","ACTIVE","0","2025-09-29 15:58:09","","B+G+4+R","Wadi Al Safa 3","Dubai Municipality","0","0","0","50",""
"4134","The Residences at the Dubai Beach Edition","2503","ED RESIDENCES L.L.C","2026-02-28 00:00:00","2029-11-30 00:00:00","2025-12-12 09:33:48","Normal","500000000","0205895005202","ACTIVE","0","2025-10-03 16:49:34","","Residential Buildings - 4 Buildings with common basement ( Tower A,B,C&D ) and retail ; B+G+P+9+R ( 165 Residential Unit )","Marsa Dubai","Dubai Development Authority (DDA)","0","0","0","169",""
"4137","Sobha SkyParks","966","SOBHA L.L.C","2026-04-01 00:00:00","2032-12-31 00:00:00","2025-12-25 10:26:42","Normal","1340851759","29411206","ACTIVE","0","2025-10-22 14:53:33","","Proposed Residential Development consisting of 5 Basement + Ground + 11 Podiums + 98 Floors + Roof ","Business Bay","Dubai Municipality","0","0","0","684",""
"4138","Nionis Residences - Interiors by Karl Lagerfeld Maison","1972","VAAM REAL ESTATE L.L.C","2026-02-24 00:00:00","2029-02-01 00:00:00","","Normal","37542582","","PENDING","","","","Residential Building (UG/G +1 Podium + 6 Floors + Roof ) With Swimming Pool @ Roof","Palm Deira","","1","0","0","0",""
"4141","Azizi Lina","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-03 00:00:00","2028-09-30 00:00:00","2026-04-03 12:08:56","Normal","52698200","011178617018","ACTIVE","2","2026-03-17 17:15:53","","RESIDENTIAL/ RETAIL BUILDING 4B+G+3P+8+RF","Jabal Ali Industrial Second","Trakhees","0","0","0","242",""
"4142","DIVINE ELEMENTS ","1520","TAKMEEL REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-12-31 00:00:00","2025-11-06 15:19:40","Normal","20000000","200892061","ACTIVE","0","2025-10-15 15:19:29","","G+04 Residential Building ","Madinat Al Mataar","Dubai South","0","0","0","90",""
"4145","J188","1901","JAD GLOBAL REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2028-04-30 00:00:00","2025-12-29 10:59:50","Normal","60000000","001582227914701","ACTIVE","0","2025-11-07 12:01:11","","G+2P+13+R Residencial Building","Al Jadaf","Dubai Development Authority (DDA)","0","0","0","131",""
"4146","PEACE AVENUE BY PEACE HOMES","1745","PEACE HOMES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-01-31 00:00:00","2026-01-13 12:50:19","Normal","57236989","01434279269","ACTIVE","0","2025-10-08 18:49:42","","Residential and commercial building 2B + G + 3 POD + 14 Floor + Roof","Jabal Ali Industrial Second","Trakhees","0","0","0","266",""
"4147","SKY HARMONY BY PEACE HOMES","2387","PEACE HOMES INTERNATIONAL DEVELOPMENT L.L.C","2026-01-20 00:00:00","2029-01-20 00:00:00","2026-02-12 15:44:06","Normal","36332424","14355169920004","ACTIVE","0","2025-10-08 18:34:59","","G + 4P + 12 Residential Building","Al Barsha South Fourth","","0","0","0","197",""
